iter	Passed	Remaining
0	0	58
1	1	57
2	1	51
3	2	45
4	2	41
5	3	38
6	3	37
7	4	38
8	4	37
9	5	37
10	5	36
11	6	35
12	6	35
13	7	35
14	8	35
15	8	33
16	8	33
17	9	31
18	9	31
19	10	30
20	10	30
21	11	30
22	11	29
23	12	28
24	12	28
25	13	27
26	13	27
27	14	26
28	14	25
29	15	25
30	15	24
31	16	24
32	16	23
33	17	23
34	17	22
35	17	21
36	18	21
37	18	20
38	19	20
39	19	19
40	20	19
41	20	18
42	21	18
43	21	17
44	21	17
45	22	16
46	22	15
47	23	15
48	23	14
49	24	14
50	24	13
51	24	13
52	25	12
53	25	12
54	26	11
55	26	11
56	27	10
57	27	10
58	27	9
59	28	9
60	28	8
61	29	8
62	29	8
63	30	7
64	30	7
65	30	6
66	31	6
67	31	5
68	31	5
69	32	4
70	32	4
71	33	3
72	33	3
73	33	2
74	34	2
75	34	1
76	35	1
77	35	0
78	35	0
79	36	0
