layer1,layer2,postprocessing,conservation rate,classify
CsPbBr2I,CsPbBr3,NH4Cl,0.041726619,0
CsPbBr2I,CsPbBr3,C16H36IN,0.326007326,0
CsPbBr2I,CsPbClI2,SnBr2,0.257407407,0
CsPbBr2I,CsPbClI2,SnI2,0.721138211,0
CsPbBr3,MAPbBr2I,AgCl,0.143375681,0
CsPbBr3,MAPbBr2I,MAI,0.132046332,0
CsPbCl2Br,MASnBrI2,AgBr,0.173263889,0
CsPbCl2Br,MASnBrI2,FAI,0.375907112,0
CsPbCl2I,CsPbCl2Br,KCl,0.188990826,0
CsPbCl2I,CsPbCl2Br,NH4Cl,0.185521886,0
CsPbI3,CsPbBr2I,PbI2,0.137411095,0
CsPbI3,CsPbBr2I,C16H36IN,0.506802721,0
CsPbI3,CsPbI3,PbBr2,0.287676056,0
CsPbI3,CsPbI3,SnBr2,0.127878788,0
CsPbI3,MAPbI3,LiCl,0.52866242,0
CsPbI3,MAPbI3,MAI,0.285945946,0
CsSnBrI2,FASnBr2I,FACl,0.916299559,1
CsSnBrI2,FASnBr2I,MACl,1.30651341,0
CsSnBrI2,FASnBr2I,PbBr2,0.465671642,0
CsSnBrI2,FASnBr2I,PbCl2,0.333333333,0
CsSnBrI2,MASnClI2,NaCl,0.98540146,1
CsSnBrI2,MASnClI2,PbCl2,0.634020619,0
CsSnCl3,FASnClF2,KCl,0.873925501,1
CsSnCl3,FASnClF2,LiCl,0.536912752,0
CsSnClBr2,FASnCl2I,AlF3,0.628712871,0
CsSnClBr2,FASnCl2I,CuCl2,0.287739464,0
CsSnClBr2,FASnCl3,PbBr2,0.23220339,0
CsSnClBr2,FASnCl3,PbI2,0.334285714,0
CsSnClF2,MAPbCl2I,NH4Cl,0.298056156,0
CsSnClF2,MAPbCl2I,C16H36IN,0.723404255,0
FAPbBr2I,CsPbI3,PbCl2,0.811320755,1
FAPbBr2I,CsPbI3,SnI2,0.573566085,0
FAPbBr2I,CsSnBrI2,FACl,1.015625,1
FAPbBr2I,CsSnBrI2,FAI,0.60515873,0
FAPbCl2I,CsPbCl2I,MABr,0.272121212,0
FAPbCl2I,CsPbCl2I,SnI2,0.34421365,0
FAPbI3,MAPbBr2I,SnBr2,0.219088937,0
FAPbI3,MAPbBr2I,SnI2,0.291082803,0
FAPbI3,MAPbI3,MABr,0.915730337,1
FAPbI3,MAPbI3,C16H36IN,0.412811388,0
FAPbI3,MASnCl2Br,FACl,0.362068966,0
FAPbI3,MASnCl2Br,FAI,0.794303797,1
FASnCl3,MASnClF2,AlF3,0.36346516,0
FASnCl3,MASnClF2,KCl,0.949117342,1
FASnClBr2,CsPbClBr2,MgCl2,0.257619048,0
FASnClBr2,CsPbClBr2,NH4Cl,0.905585106,1
FASnClI2,FASnI3,FAI,0.865079365,1
FASnClI2,FASnI3,MAI,0.766763848,1
FASnFCl2,FASnClBr2,CuCl2,0.487654321,0
FASnFCl2,FASnClBr2,MgCl2,0.238095238,0
MAPbBr2I,MASnBrI2,MAI,0.182075472,0
MAPbBr2I,MASnClBr2,MACl,0.250649351,0
MAPbBr2I,MASnClBr2,PbCl2,0.880952381,1
MAPbBrI2,FASnF2Cl,MACl,1.666666667,0
MAPbBrI2,FASnF2Cl,MAI,0.677807487,0
MAPbCl2I,FASnCl2I,CuCl2,0.387283237,0
MAPbCl2I,FASnCl2I,FeCl3,0.778350515,1
MAPbCl2I,FASnCl2I,PbCl2,0.153068592,0
MAPbCl3,FAPbCl3,FACl,0.364150943,0
MAPbCl3,FAPbCl3,MACl,0.831168831,1
MAPbClI2,MAPbBr2I,AgBr,0.313392857,0
MAPbClI2,MAPbBr2I,AgCl,0.695187166,0
MAPbClI2,MAPbCl2Br,KCl,0.182634731,0
MAPbClI2,MAPbCl2Br,NaCl,0.209473684,0
MASnBr3,CsPbBrI2,NaCl,0.335205993,0
MASnBr3,CsPbBrI2,NH4Cl,0.264916468,0
MASnBr3,CsSnBr3,AgBr,0.261538462,0
MASnBr3,CsSnBr3,NaCl,0.251694915,0
MASnBrI2,CsPbI3,PbI2,0.446753247,0
MASnBrI2,CsPbI3,SnI2,0.768518519,1
MASnCl2Br,CsPbClBr2,MABr,0.159566787,0
MASnCl2Br,CsPbClBr2,MACl,0.161870504,0
MASnCl3,MAPbBr2I,LiCl,0.41025641,0
MASnCl3,MAPbBr2I,NaCl,0.184516129,0
MASnClF2,FASnI3,FACl,1.101886792,1
MASnClF2,FASnI3,PbI2,0.356804734,0
MASnI3,CsPbI3,C9H7BrO2,0.348854962,0
MASnI3,CsPbI3,MABr,0.689189189,0
